id,y_true,score
6252_halu,1,4.240340985331517
6252_right,0,1.3029793833045265
4684_halu,1,2.2201857369461613
4684_right,0,1.062941032094685
1731_halu,1,3.033533194565644
1731_right,0,1.697248439662469
4742_halu,1,2.2494015682133512
4742_right,0,0.0
4521_halu,1,4.085041238189897
4521_right,0,0.0
6340_halu,1,5.488696352370476
6340_right,0,0.0
576_halu,1,3.783844540772878
576_right,0,0.0
5202_halu,1,2.5875253449443893
5202_right,0,0.0
6363_halu,1,3.718976686454506
6363_right,0,3.895488686959404
439_halu,1,4.312925683463099
439_right,0,0.982976153769621
2750_halu,1,4.059589162716237
2750_right,0,4.019662165959772
7487_halu,1,2.899687001089934
7487_right,0,2.121411935506983
5272_halu,1,3.834453801539386
5272_right,0,0.9346663850047184
5653_halu,1,4.486884331975973
5653_right,0,2.25909630386728
3999_halu,1,4.620567016084397
3999_right,0,0.0
6033_halu,1,4.475613093445062
6033_right,0,0.0
582_halu,1,0.0
582_right,0,1.4343903247086909
9930_halu,1,2.456042118497999
9930_right,0,1.257131086403296
7051_halu,1,2.389266560091627
7051_right,0,0.0
8158_halu,1,2.8422344720015174
8158_right,0,2.686742271714618
9896_halu,1,3.318117589655805
9896_right,0,0.0
2249_halu,1,4.1460172258505725
2249_right,0,0.0
4640_halu,1,3.815263598296481
4640_right,0,0.0
9485_halu,1,3.451400243740562
9485_right,0,2.1299765924897893
4947_halu,1,4.056506715704746
4947_right,0,0.0
9920_halu,1,3.389569266339458
9920_right,0,0.0
1963_halu,1,2.51656124899327
1963_right,0,1.4599050707525938
8243_halu,1,3.8787434211716314
8243_right,0,0.0
6590_halu,1,4.48867064315594
6590_right,0,0.0
8847_halu,1,4.482096842826509
8847_right,0,0.0
321_halu,1,4.286768255076068
321_right,0,0.0
2678_halu,1,3.285975132683569
2678_right,0,0.0
4625_halu,1,3.020651477184647
4625_right,0,0.0
4949_halu,1,1.6272738405948957
4949_right,0,0.0
8328_halu,1,4.096152518863076
8328_right,0,0.0
3337_halu,1,2.988756797763636
3337_right,0,0.0
5589_halu,1,4.4718243272112215
5589_right,0,0.0
251_halu,1,5.3671714358708735
251_right,0,2.617225778861948
3973_halu,1,3.496633568335851
3973_right,0,1.6269620082355594
6630_halu,1,0.0
6630_right,0,0.0
5547_halu,1,4.738058606686965
5547_right,0,1.9801208383883089
35_halu,1,3.090608025426915
35_right,0,2.104280345651498
8362_halu,1,5.299173524580475
8362_right,0,1.916479373176288
1513_halu,1,3.692160116775804
1513_right,0,0.0
9317_halu,1,4.016658596515877
9317_right,0,0.0
39_halu,1,5.428138227053096
39_right,0,0.0
4819_halu,1,5.164369415186569
4819_right,0,1.690292674993447
3465_halu,1,2.5141360777957207
3465_right,0,4.417410431560789
1760_halu,1,2.3171619410224222
1760_right,0,1.9021840505487932
2304_halu,1,2.5660628870295645
2304_right,0,0.0
3723_halu,1,4.572948748767446
